titulo,autor,genero,isbn,copias_disponibles,ubicacion
Ecología de los residuos: Volumen II 4,Silvia Márquez,Medio Ambiente,978-1000040630,3,Sección Ciencia - Estante 6
Estudios sobre las juventudes: Historias complementarias 4,Óscar Marín,Ciencias Sociales,978-1000040647,4,Sección Humanidades - Estante 8
Taller de arte mexicano: Nueva edición 4,José Silva,Arte,978-1000040654,2,Sección Arte - Estante 1
Poemas de la ciudad: Historias complementarias 4,Miguel Espinosa,Poesía,978-1000040661,3,Sección A - Estante 2
La pista de la colonia Roma: Edición para jóvenes 2,Estela Cortés,Misterio,978-1000040678,6,Sección B - Estante 2
Conversaciones con un médico de barrio: Edición para jóvenes 9,Javier Lara,Biografía,978-1000040685,2,Sección Historia - Estante 1
Introducción a las civilizaciones antiguas: Cuaderno de actividades 10,Ricardo Fernández,Historia,978-1000040692,3,Sección Historia - Estante 5
Perspectivas de la sociología: Nueva edición 3,Mario Ramos,Ciencias Sociales,978-1000040708,3,Sección Humanidades - Estante 1
Archivo Europa: Volumen I 2,Mauricio Blanco,Ciencia Ficción,978-1000040715,2,Sección B - Estante 11
Introducción a el mundo moderno: Lecturas seleccionadas 14,Emiliano Castillo,Historia,978-1000040722,3,Sección Historia - Estante 1
Principios de las finanzas personales: Cuaderno de actividades 2,Eva Jiménez,Economía,978-1000040739,6,Sección Humanidades - Estante 7
Órbita Europa: Volumen II 4,Raquel Espinosa Alarcón,Ciencia Ficción,978-1000040746,2,Sección B - Estante 2
Historia de los movimientos sociales: Guía ilustrada 10,Mario Álvarez,Historia,978-1000040753,1,Sección Historia - Estante 4
El silencio junto al lago: Una introducción 8,Alicia Campos Blanco,Novela,978-1000040760,1,Sección A - Estante 9
La guardiana de las siete puertas: Volumen II 5,Leticia Medina Robles,Fantasía,978-1000040777,6,Sección B - Estante 8
Preguntas y respuestas sobre los volcanes: Cuaderno de actividades 3,Emiliano Jiménez Juárez,Ciencia,978-1000040784,2,Sección Ciencia - Estante 5
El rumor junto al lago: Cuaderno de actividades 5,Pedro Zamora Ruiz,Novela,978-1000040791,2,Sección A - Estante 1
Atlas histórico de el mundo moderno: Volumen II 14,Mauricio Álvarez Delgado,Historia,978-1000040807,3,Sección Historia - Estante 6
La memoria del último verano: Estudios y comentarios 7,Víctor Moreno,Novela,978-1000040814,4,Sección A - Estante 2
Protocolo Marte: Nueva edición 5,Alicia Fuentes,Ciencia Ficción,978-1000040821,2,Sección B - Estante 4
Cuentos para colibrí: Nueva edición 8,Felipe Maldonado,Infantil,978-1000040838,1,Sección Infantil - Estante 3
La noche de ajolote: Volumen II 3,Carmen Mendoza Villanueva,Infantil,978-1000040845,3,Sección Infantil - Estante 5
El reino de obsidiana: Volumen I 5,Ernesto León,Fantasía,978-1000040852,1,Sección B - Estante 9
La ciudad de los mensajes perdidos: Estudios y comentarios 4,Fernanda Miranda,Juvenil,978-1000040869,2,Sección Juvenil - Estante 8
Guía de la salud pública: Lecturas seleccionadas 2,Enrique Zúñiga,Salud,978-1000040876,3,Sección Salud - Estante 7
La vida cotidiana en el Valle de México: Volumen I 7,Rubén Zamora Moreno,Historia de México,978-1000040883,1,Sección Historia - Estante 8
Archivo Tenochtitlan: Una introducción 3,Rubén Blanco,Ciencia Ficción,978-1000040890,2,Sección B - Estante 1
Principios de la biología: Lecturas seleccionadas 4,Ángel González Barrera,Ciencia,978-1000040906,3,Sección Ciencia - Estante 8
La memoria de las jacarandas: Una introducción 4,Paola Castro Herrera,Novela,978-1000040913,5,Sección A - Estante 8
Breves historias de la noche: Una introducción 5,Verónica Silva,Cuento,978-1000040920,1,Sección A - Estante 7
La colonia la ciudad orbital: Volumen II 2,Pedro Santos,Ciencia Ficción,978-1000040937,1,Sección B - Estante 3
Versos para los encuentros: Edición para jóvenes 5,Alicia Morales,Poesía,978-1000040944,1,Sección A - Estante 10
El misterio de la azotea: Nueva edición 3,Jimena Solís,Juvenil,978-1000040951,1,Sección Juvenil - Estante 11
Crónica de el Valle de México: Guía ilustrada 4,Pilar Moreno,Historia de México,978-1000040968,6,Sección Historia - Estante 1
La distancia bajo el cielo: Historias complementarias 3,Brenda Suárez,Novela,978-1000040975,2,Sección A - Estante 4
Sabores de los mercados: Nueva edición 2,Fernanda Zúñiga,Cocina,978-1000040982,3,Sección Hogar - Estante 11
El recetario de temporada: Guía ilustrada 4,Susana Díaz,Cocina,978-1000040999,3,Sección Hogar - Estante 4
Introducción a el siglo XX: Guía ilustrada 10,Gerardo Ortega Cárdenas,Historia,978-1000041002,0,Sección Historia - Estante 4
Los días junto al lago: Estudios y comentarios 11,Jorge Álvarez,Novela,978-1000041019,1,Sección A - Estante 9
Cuidado de la salud pública: Nueva edición 3,Leticia Moreno,Salud,978-1000041026,2,Sección Salud - Estante 12
Historia de la vida cotidiana: Volumen I 4,Diego Padilla Ortega,Historia,978-1000041033,1,Sección Historia - Estante 8
Crónicas de la secundaria 27: Volumen II 6,Irene Ramos Velasco,Juvenil,978-1000041040,3,Sección Juvenil - Estante 1
La noche en la carretera: Cuaderno de actividades 5,Manuel Ibarra,Terror,978-1000041057,4,Sección B - Estante 5
Bajo la misma la estación: Lecturas seleccionadas 4,Carmen Trejo,Juvenil,978-1000041064,2,Sección Juvenil - Estante 4
Guía de los océanos: Cuaderno de actividades 6,Marcela Ochoa,Ciencia,978-1000041071,1,Sección Ciencia - Estante 3
Relatos de la infancia: Volumen II 9,Teresa García,Cuento,978-1000041088,1,Sección A - Estante 6
La increíble niñas curiosas: Nueva edición 7,Susana Benítez,Infantil,978-1000041095,4,Sección Infantil - Estante 5
Historia de el siglo XX: Guía ilustrada 9,Rodrigo Estrada Flores,Historia,978-1000041101,2,Sección Historia - Estante 5
La espada de los nahuales: Edición para jóvenes 4,Javier Herrera,Fantasía,978-1000041118,2,Sección B - Estante 10
Panorama de el mundo moderno: Volumen I 9,Mónica Peña Martínez,Historia,978-1000041125,0,Sección Historia - Estante 4
La estación de la calle antigua: Nueva edición 3,Julia Silva,Novela,978-1000041132,1,Sección A - Estante 5
Conversaciones con una científica: Volumen I 4,Liliana Flores Moreno,Biografía,978-1000041149,2,Sección Historia - Estante 4
Guía de el cambio climático: Volumen I 6,Alejandra Escobar Salazar,Medio Ambiente,978-1000041156,2,Sección Ciencia - Estante 4
La pandilla de monstruo amable: Estudios y comentarios 5,Mónica Campos,Infantil,978-1000041163,2,Sección Infantil - Estante 2
Estudios sobre la desigualdad: Volumen I 5,Irene Vega,Ciencias Sociales,978-1000041170,2,Sección Humanidades - Estante 9
El bosque de la niebla: Lecturas seleccionadas 3,Miguel Lozano,Fantasía,978-1000041187,3,Sección B - Estante 1
No mires debajo de la cama: Historias complementarias 4,Valeria Rojas,Terror,978-1000041194,5,Sección B - Estante 7
Las voces de el edificio antiguo: Volumen II 2,Juan Hernández,Terror,978-1000041200,1,Sección B - Estante 1
El expediente de la casa azul: Edición para jóvenes 4,Isabel Vega,Misterio,978-1000041217,2,Sección B - Estante 1
La memoria junto al lago: Volumen I 11,Laura Fuentes Lara,Novela,978-1000041224,0,Sección A - Estante 4
El jardín sin regreso: Volumen II 3,Renata Sandoval,Novela,978-1000041231,4,Sección A - Estante 7
Atlas histórico de el siglo XX: Cuaderno de actividades 9,Leonardo Méndez,Historia,978-1000041248,2,Sección Historia - Estante 4
Historia de la Ciudad de México: Volumen II 7,Andrea Pacheco,Historia de México,978-1000041255,2,Sección Historia - Estante 11
Introducción a la biodiversidad,Rafael Cárdenas,Medio Ambiente,978-1000041262,3,Sección Ciencia - Estante 7
La vida cotidiana en el Valle de México: Estudios y comentarios 8,Ximena Aranda Domínguez,Historia de México,978-1000041279,1,Sección Historia - Estante 10
Panorama de el siglo XX: Guía ilustrada 14,Rodrigo Peña,Historia,978-1000041286,2,Sección Historia - Estante 11
Documentos para comprender las civilizaciones antiguas: Volumen I 5,Pilar Valdez,Historia,978-1000041293,3,Sección Historia - Estante 2
La casa del último verano: Estudios y comentarios 4,Laura Rojas Ortega,Novela,978-1000041309,4,Sección A - Estante 12
Los hijos de las siete puertas: Volumen II 2,Olga Contreras Zúñiga,Fantasía,978-1000041316,1,Sección B - Estante 1
La ciudad de la estación: Estudios y comentarios 6,Ángel Hernández Castillo,Juvenil,978-1000041323,2,Sección Juvenil - Estante 7
Conoce los volcanes mexicanos: Edición para jóvenes 3,Ximena Barrera,Geografía,978-1000041330,2,Sección Referencia - Estante 1
Rutas de el Porfiriato: Edición para jóvenes 9,Paola Navarro,Historia de México,978-1000041347,2,Sección Historia - Estante 4
Las voces sin regreso: Volumen I 5,Renata Torres Martínez,Novela,978-1000041354,1,Sección A - Estante 8
Cuentos de la lluvia: Historias complementarias 5,Estela Ortiz,Cuento,978-1000041361,1,Sección A - Estante 5
Las voces de debajo de la cama: Historias complementarias 5,Eduardo Padilla,Terror,978-1000041378,2,Sección B - Estante 6
El mapa del último verano: Cuaderno de actividades 2,Liliana Carrillo Gutiérrez,Novela,978-1000041385,2,Sección A - Estante 6
Guía de el consumo responsable: Estudios y comentarios 3,Santiago Suárez García,Economía,978-1000041392,2,Sección Humanidades - Estante 7
La voz de los encuentros: Guía ilustrada 3,Silvia Benítez Velasco,Poesía,978-1000041408,4,Sección A - Estante 3
La distancia bajo el cielo: Edición para jóvenes 4,Óscar Pérez Olvera,Novela,978-1000041415,2,Sección A - Estante 10
La espada de los nahuales: Volumen II 5,Víctor Espinosa,Fantasía,978-1000041422,4,Sección B - Estante 12
Claves para entender la desigualdad: Volumen I 4,Paola Maldonado,Ciencias Sociales,978-1000041439,1,Sección Humanidades - Estante 6
La espada de la niebla: Guía ilustrada 6,Ana Hernández,Fantasía,978-1000041446,5,Sección B - Estante 7
Señal Xólotl: Guía ilustrada 2,Margarita Juárez Álvarez,Ciencia Ficción,978-1000041453,6,Sección B - Estante 9
Memoria de el México prehispánico: Volumen II 7,Jorge Delgado Luna,Historia de México,978-1000041460,1,Sección Historia - Estante 4
Diálogos sobre la libertad: Lecturas seleccionadas 3,Laura Castro Ibarra,Filosofía,978-1000041477,0,Sección Humanidades - Estante 2
El reino de la luna verde,Noemí Trejo Cabrera,Fantasía,978-1000041484,3,Sección B - Estante 5
Enciclopedia de la lengua española,Pilar Moreno,Referencia,978-1000041491,1,Sección Referencia - Estante 9
Atlas histórico de el siglo XX: Nueva edición 10,Patricia Méndez,Historia,978-1000041507,2,Sección Historia - Estante 8
Archivo Xólotl: Volumen I 2,Rubén Silva,Ciencia Ficción,978-1000041514,1,Sección B - Estante 10
El silencio junto al lago: Volumen II 9,Alicia Barrera,Novela,978-1000041521,5,Sección A - Estante 1
El club de los mensajes perdidos: Cuaderno de actividades 5,Julia Robles Méndez,Juvenil,978-1000041538,5,Sección Juvenil - Estante 8
La colonia Xólotl: Historias complementarias 3,Paola Márquez,Ciencia Ficción,978-1000041545,3,Sección B - Estante 1
Crónica de la Ciudad de México: Volumen II 5,Felipe Vega Ríos,Historia de México,978-1000041552,1,Sección Historia - Estante 9
Introducción al teatro,Carmen Blanco,Arte,978-1000041569,2,Sección Arte - Estante 1
El caso de la casa azul: Volumen II 5,Óscar Contreras,Misterio,978-1000041576,0,Sección B - Estante 8
La vida cotidiana en el Valle de México: Estudios y comentarios 9,Mario Hernández,Historia de México,978-1000041583,2,Sección Historia - Estante 6
El jardín del último verano: Cuaderno de actividades 4,Mónica Valdez,Novela,978-1000041590,5,Sección A - Estante 2
El huésped de la carretera: Edición para jóvenes 8,Enrique Peña,Terror,978-1000041606,2,Sección B - Estante 5
Guía de el Valle de México: Volumen I 2,Liliana Chávez,Medio Ambiente,978-1000041613,1,Sección Ciencia - Estante 7
Crónicas de la secundaria 27: Guía ilustrada 7,Margarita Reyes Barrera,Juvenil,978-1000041620,2,Sección Juvenil - Estante 10
Estudios sobre la sociología: Lecturas seleccionadas 5,Alejandra Valdez,Ciencias Sociales,978-1000041637,1,Sección Humanidades - Estante 4
Voces de la periferia: Nueva edición 5,Brenda Cortés,Cuento,978-1000041644,4,Sección A - Estante 7
El rumor junto al lago: Estudios y comentarios 6,Elena Sandoval,Novela,978-1000041651,2,Sección A - Estante 8
Introducción a la genética: Guía ilustrada 3,Rodrigo Domínguez,Ciencia,978-1000041668,2,Sección Ciencia - Estante 12
Introducción a la salud familiar: Volumen I 8,Lorena Delgado,Salud,978-1000041675,2,Sección Salud - Estante 3
Preguntas y respuestas sobre el cuerpo humano: Lecturas seleccionadas 3,Leonardo Silva,Ciencia,978-1000041682,5,Sección Ciencia - Estante 8
Crónicas de la estación: Guía ilustrada 3,Eva Ruiz,Juvenil,978-1000041699,4,Sección Juvenil - Estante 12
Taller de diseño: Cuaderno de actividades 3,Isabel Guerrero,Arte,978-1000041705,2,Sección Arte - Estante 5
Crónicas de las luces: Nueva edición 4,Adriana Carrillo Gutiérrez,Juvenil,978-1000041712,3,Sección Juvenil - Estante 2
Atlas ilustrado de historia universal: Nueva edición 2,Jorge Castillo,Referencia,978-1000041729,1,Sección Referencia - Estante 4
La vida cotidiana en el Porfiriato: Volumen I 2,Josefina Ortiz,Historia de México,978-1000041736,6,Sección Historia - Estante 3
Herramientas para el aprendizaje creativo: Cuaderno de actividades 5,Carmen Fuentes Medina,Educación,978-1000041743,3,Sección Educación - Estante 9
Misterio en la biblioteca cerrada: Lecturas seleccionadas 2,Olga Contreras Zúñiga,Misterio,978-1000041750,3,Sección B - Estante 10
Guía ciudadana de las obligaciones civiles: Una introducción 2,Paola Espinosa Navarro,Derecho,978-1000041767,4,Sección Humanidades - Estante 3
La colonia Xólotl: Cuaderno de actividades 4,Susana Delgado,Ciencia Ficción,978-1000041774,2,Sección B - Estante 9
La noche de gato del mercado: Nueva edición 7,Gerardo Aranda,Infantil,978-1000041781,1,Sección Infantil - Estante 10
Memoria de la Revolución Mexicana: Historias complementarias 5,Lucía Aranda,Historia de México,978-1000041798,1,Sección Historia - Estante 7
Preguntas de la libertad,Noemí Trejo Cabrera,Filosofía,978-1000041804,7,Sección Humanidades - Estante 10
La vida cotidiana en las mujeres en México: Volumen II 4,Carmen Fuentes Estrada,Historia de México,978-1000041811,2,Sección Historia - Estante 3
Pensar la ciudadanía: Cuaderno de actividades 3,Rafael Benítez,Filosofía,978-1000041828,1,Sección Humanidades - Estante 12
Cuaderno de la luz: Volumen I 5,Carlos Barrera,Poesía,978-1000041835,0,Sección A - Estante 11
La pandilla de tren de colores: Nueva edición 2,Daniel Santos Molina,Infantil,978-1000041842,1,Sección Infantil - Estante 3
Los guardianes de la azotea: Nueva edición 5,Natalia Benítez,Juvenil,978-1000041859,2,Sección Juvenil - Estante 11
No mires la habitación 13: Cuaderno de actividades 4,Alejandra Solís,Terror,978-1000041866,1,Sección B - Estante 6
Tecnología para seguridad digital: Edición para jóvenes 3,Claudia Herrera,Tecnología,978-1000041873,1,Sección Ciencia - Estante 1
La increíble colibrí: Edición para jóvenes 10,Noemí Cabrera,Infantil,978-1000041880,2,Sección Infantil - Estante 2
Paisajes de las cuencas y ríos: Estudios y comentarios 2,Sofía Vázquez,Geografía,978-1000041897,8,Sección Referencia - Estante 11
Sabores de los mercados: Nueva edición 3,Andrea Juárez,Cocina,978-1000041903,2,Sección Hogar - Estante 5
El mundo de la biología: Volumen II 4,Tomás Salazar,Ciencia,978-1000041910,3,Sección Ciencia - Estante 8
Las voces de la barranca: Edición para jóvenes 3,Esther Guerrero,Terror,978-1000041927,3,Sección B - Estante 4
Historia de la Revolución Mexicana: Volumen II 10,Daniel Escobar,Historia de México,978-1000041934,5,Sección Historia - Estante 5
La noche de colibrí: Volumen II 5,Teresa Romero,Infantil,978-1000041941,2,Sección Infantil - Estante 11
Los días de los ausentes: Edición para jóvenes 6,Gerardo Cervantes,Novela,978-1000041958,3,Sección A - Estante 8
Preguntas de la ciudadanía: Nueva edición 6,Susana Ortega,Filosofía,978-1000041965,2,Sección Humanidades - Estante 11
Cuidemos el agua,Liliana Juárez García,Medio Ambiente,978-1000041972,3,Sección Ciencia - Estante 5
Una vida entre una cronista de la ciudad: Lecturas seleccionadas 7,Fernanda Pérez,Biografía,978-1000041989,6,Sección Historia - Estante 11
La ciudad de las luces: Volumen I 5,Marco Aranda,Juvenil,978-1000041996,1,Sección Juvenil - Estante 8
Versos para los días: Lecturas seleccionadas 3,Lorena Benítez,Poesía,978-1000042009,4,Sección A - Estante 2
La noche en debajo de la cama: Estudios y comentarios 7,Rubén Moreno,Terror,978-1000042016,0,Sección B - Estante 5
Las voces de la estación vacía: Historias complementarias 4,Mauricio Ramírez,Terror,978-1000042023,1,Sección B - Estante 9
Perspectivas de la participación ciudadana: Cuaderno de actividades 4,Víctor Valdez Arellano,Ciencias Sociales,978-1000042030,6,Sección Humanidades - Estante 12
Introducción a la astronomía,Ricardo Reyes,Ciencia,978-1000042047,4,Sección Ciencia - Estante 9
La pandilla de tlacuache: Estudios y comentarios 8,Noemí Álvarez Ortiz,Infantil,978-1000042054,3,Sección Infantil - Estante 5
El secreto de árbol parlante: Volumen I 14,Eduardo Romero,Infantil,978-1000042061,1,Sección Infantil - Estante 4
Panorama de el mundo moderno: Edición para jóvenes 10,Leticia Lozano,Historia,978-1000042078,1,Sección Historia - Estante 2
Retrato de un defensor comunitario: Cuaderno de actividades 5,Rubén Fernández,Biografía,978-1000042085,2,Sección Historia - Estante 1
Preguntas y respuestas sobre la astronomía: Lecturas seleccionadas 5,Olga Solís,Ciencia,978-1000042092,3,Sección Ciencia - Estante 1
La noche de gato del mercado: Nueva edición 8,Martha Vega,Infantil,978-1000042108,2,Sección Infantil - Estante 3
Guía práctica de alfabetización digital: Nueva edición 5,Leonardo Valdez,Tecnología,978-1000042115,2,Sección Ciencia - Estante 4
Introducción a el siglo XX: Cuaderno de actividades 11,Mónica Zúñiga Benítez,Historia,978-1000042122,5,Sección Historia - Estante 5
Rutas de las mujeres en México: Una introducción 4,Laura Cortés,Historia de México,978-1000042139,4,Sección Historia - Estante 2
Perspectivas de la migración: Una introducción 7,Gabriela Vargas Lara,Ciencias Sociales,978-1000042146,3,Sección Humanidades - Estante 4
La memoria de los ausentes: Volumen I 5,Jimena Flores,Novela,978-1000042153,3,Sección A - Estante 10
Crónicas de la secundaria 27: Volumen II 8,Sofía Peña Cervantes,Juvenil,978-1000042160,1,Sección Juvenil - Estante 2
Órbita la frontera solar: Lecturas seleccionadas 3,Silvia Vázquez,Ciencia Ficción,978-1000042177,2,Sección B - Estante 10
Atlas de las alcaldías: Lecturas seleccionadas 2,Octavio Rodríguez,Geografía,978-1000042184,4,Sección Referencia - Estante 6
El huésped de la estación vacía: Estudios y comentarios 3,Laura Velasco,Terror,978-1000042191,5,Sección B - Estante 4
Atlas histórico de el siglo XX: Una introducción 11,Cecilia Ortiz,Historia,978-1000042207,4,Sección Historia - Estante 6
Voces de la montaña: Guía ilustrada 5,Javier Castro,Cuento,978-1000042214,3,Sección A - Estante 1
Panorama de el siglo XX: Volumen I 15,Carlos Cabrera,Historia,978-1000042221,7,Sección Historia - Estante 3
Guía de muralismo: Lecturas seleccionadas 4,Carmen Salazar,Arte,978-1000042238,3,Sección Arte - Estante 8
Introducción a la vida urbana: Estudios y comentarios 4,Lucía Castro,Ciencias Sociales,978-1000042245,6,Sección Humanidades - Estante 4
Pensar la filosofía: Cuaderno de actividades 7,Renata Zamora Espinosa,Filosofía,978-1000042252,8,Sección Humanidades - Estante 1
El jardín de las jacarandas: Cuaderno de actividades 6,Mauricio Ruiz García,Novela,978-1000042269,2,Sección A - Estante 11
Atlas histórico de el mundo moderno: Historias complementarias 15,Ángel González Barrera,Historia,978-1000042276,3,Sección Historia - Estante 7
El club de la puerta roja: Edición para jóvenes 5,Claudia Peña,Juvenil,978-1000042283,1,Sección Juvenil - Estante 12
Breves historias de la ciudad: Volumen II 6,José Ortega,Cuento,978-1000042290,1,Sección A - Estante 11
La colonia la ciudad orbital: Una introducción 3,Olga Guerrero,Ciencia Ficción,978-1000042306,1,Sección B - Estante 6
El mapa de la calle antigua,Ana Arellano Campos,Novela,978-1000042313,5,Sección A - Estante 7
Didáctica de la comprensión lectora,Silvia Medina,Educación,978-1000042320,3,Sección Educación - Estante 9
Aprende bases de datos: Lecturas seleccionadas 4,Alejandra Serrano,Tecnología,978-1000042337,1,Sección Ciencia - Estante 3
Breves historias de la infancia: Historias complementarias 4,Miguel Vega,Cuento,978-1000042344,7,Sección A - Estante 5
La ciudad de la secundaria 27: Nueva edición 6,Mónica Vega Reyes,Juvenil,978-1000042351,4,Sección Juvenil - Estante 7
Ética para el conocimiento: Volumen I 2,Pedro Aguilar Blanco,Filosofía,978-1000042368,2,Sección Humanidades - Estante 2
La sombra en la ventana: Una introducción 8,Margarita Juárez Álvarez,Novela,978-1000042375,7,Sección A - Estante 10
El mundo de los océanos: Edición para jóvenes 3,Alejandra Suárez,Ciencia,978-1000042382,8,Sección Ciencia - Estante 5
Los hijos de la luna verde: Nueva edición 5,Susana Montes,Fantasía,978-1000042399,3,Sección B - Estante 11
La sombra de la lluvia: Estudios y comentarios 5,Adriana Castro,Novela,978-1000042405,1,Sección A - Estante 5
Introducción a el agua,Daniel Olvera,Medio Ambiente,978-1000042412,4,Sección Ciencia - Estante 5
El club de estrella: Cuaderno de actividades 6,Marcela Flores,Juvenil,978-1000042429,0,Sección Juvenil - Estante 5
La memoria de la calle antigua: Historias complementarias 10,Laura Rojas Ortega,Novela,978-1000042436,7,Sección A - Estante 8
México durante la Ciudad de México: Guía ilustrada 4,Elena Lozano Silva,Historia de México,978-1000042443,2,Sección Historia - Estante 4
Rutas de el Porfiriato: Volumen I 10,Luis Morales,Historia de México,978-1000042450,2,Sección Historia - Estante 8
La vida cotidiana en el México prehispánico: Volumen I 5,Elena Díaz Miranda,Historia de México,978-1000042467,1,Sección Historia - Estante 1
Rutas de el Valle de México: Volumen II 7,Ricardo Benítez,Historia de México,978-1000042474,6,Sección Historia - Estante 9
El huésped de la carretera: Volumen I 9,Daniel Santos,Terror,978-1000042481,3,Sección B - Estante 1
Introducción a la astronomía: Edición para jóvenes 2,Claudia Ruiz Pérez,Ciencia,978-1000042498,1,Sección Ciencia - Estante 10
Protocolo Europa: Historias complementarias 3,Sofía Contreras Ramos,Ciencia Ficción,978-1000042504,4,Sección B - Estante 7
La desaparición de Coyoacán: Historias complementarias 5,Felipe Padilla,Misterio,978-1000042511,4,Sección B - Estante 11
Enciclopedia de arte y cultura: Nueva edición 2,Emiliano Ramos,Referencia,978-1000042528,1,Sección Referencia - Estante 1
La última misión a la Luna: Nueva edición 4,Francisco Escobar,Ciencia Ficción,978-1000042535,3,Sección B - Estante 9
Los días de la madrugada: Historias complementarias 5,Lucía Montes Juárez,Novela,978-1000042542,1,Sección A - Estante 8
El viaje de árbol parlante: Volumen II 7,Beatriz Herrera Álvarez,Infantil,978-1000042559,1,Sección Infantil - Estante 12
Una vida entre una fotógrafa mexicana: Volumen I 4,Ximena Núñez López,Biografía,978-1000042566,2,Sección Historia - Estante 2
Rutas de la Independencia: Cuaderno de actividades 6,Guadalupe Núñez Cárdenas,Historia de México,978-1000042573,3,Sección Historia - Estante 8
Panorama de América Latina: Edición para jóvenes 9,Carlos Velasco,Historia,978-1000042580,3,Sección Historia - Estante 9
Panorama de la vida cotidiana: Cuaderno de actividades 14,Teresa Sandoval,Historia,978-1000042597,4,Sección Historia - Estante 7
El mundo de los océanos: Nueva edición 4,Susana Castro,Ciencia,978-1000042603,2,Sección Ciencia - Estante 2
Los días del barrio: Volumen I 9,Nicolás Benítez,Novela,978-1000042610,7,Sección A - Estante 12
Documentos para comprender el siglo XX: Historias complementarias 14,Leticia Navarro Herrera,Historia,978-1000042627,6,Sección Historia - Estante 1
La memoria del último verano: Una introducción 8,Leticia Pérez Suárez,Novela,978-1000042634,8,Sección A - Estante 2
La casa de la barranca: Volumen II 2,Noemí Castro Cabrera,Terror,978-1000042641,4,Sección B - Estante 10
Preguntas y respuestas sobre la física: Nueva edición 7,Noemí Gómez,Ciencia,978-1000042658,3,Sección Ciencia - Estante 4
Preguntas y respuestas sobre la genética: Lecturas seleccionadas 3,Alejandra Aranda Ibarra,Ciencia,978-1000042665,3,Sección Ciencia - Estante 7
La sombra en la ventana: Guía ilustrada 9,Miguel Lozano,Novela,978-1000042672,2,Sección A - Estante 6
Conoce las cuencas y ríos: Volumen I 3,Manuel Alarcón,Geografía,978-1000042689,0,Sección Referencia - Estante 5
Horizonte Tenochtitlan: Una introducción 6,Claudia Ramírez,Ciencia Ficción,978-1000042696,3,Sección B - Estante 2
Diálogos sobre la filosofía: Volumen II 4,Andrea Cortés Campos,Filosofía,978-1000042702,3,Sección Humanidades - Estante 9
Historias desde la infancia: Edición para jóvenes 8,Estela Cortés,Cuento,978-1000042719,4,Sección A - Estante 1
La voz de los días: Nueva edición 5,Iván González Valdez,Poesía,978-1000042726,2,Sección A - Estante 7
El secreto de ajolote: Cuaderno de actividades 5,Víctor Pérez,Infantil,978-1000042733,3,Sección Infantil - Estante 11
Inventario de la ausencia: Volumen II 2,David Trejo Reyes,Poesía,978-1000042740,7,Sección A - Estante 2
Introducción a los océanos: Estudios y comentarios 7,Daniel Méndez,Ciencia,978-1000042757,3,Sección Ciencia - Estante 3
La sombra del último verano: Una introducción 6,Emiliano Molina Zúñiga,Novela,978-1000042764,2,Sección A - Estante 7
La sombra de la calle antigua: Cuaderno de actividades 6,Javier Navarro,Novela,978-1000042771,2,Sección A - Estante 12
No mires debajo de la cama: Nueva edición 5,Felipe Soto Molina,Terror,978-1000042788,3,Sección B - Estante 11
Las voces en la ventana: Nueva edición 9,Teresa García,Novela,978-1000042795,2,Sección A - Estante 10
Los días de las jacarandas: Historias complementarias 12,Javier Vega Valdez,Novela,978-1000042801,1,Sección A - Estante 5
Ecología de los bosques,Noemí Salazar Cárdenas,Medio Ambiente,978-1000042818,7,Sección Ciencia - Estante 12
Cuentos para tren de colores: Historias complementarias 6,Jorge Trejo,Infantil,978-1000042825,6,Sección Infantil - Estante 1
El misterio de los inconformes,Octavio Benítez,Juvenil,978-1000042832,1,Sección Juvenil - Estante 10
Panorama de las civilizaciones antiguas: Lecturas seleccionadas 12,Claudia Rojas Ibarra,Historia,978-1000042849,1,Sección Historia - Estante 1
Guía de el bienestar emocional: Una introducción 2,Francisco Soto Ramírez,Salud,978-1000042856,1,Sección Salud - Estante 10
Introducción a los movimientos sociales: Lecturas seleccionadas 10,Alejandra Serrano Ortega,Historia,978-1000042863,4,Sección Historia - Estante 7
El club de estrella: Volumen I 7,Nicolás Trejo Robles,Juvenil,978-1000042870,0,Sección Juvenil - Estante 10
El mapa de las jacarandas: Guía ilustrada 5,Javier Olvera Soto,Novela,978-1000042887,2,Sección A - Estante 3
El pequeño gato del mercado: Guía ilustrada 4,Claudia Carrillo Aranda,Infantil,978-1000042894,2,Sección Infantil - Estante 8
El viaje de ajolote: Volumen I 4,Rafael Aranda Aguilar,Infantil,978-1000042900,0,Sección Infantil - Estante 11
La torre de la luna verde: Edición para jóvenes 4,Marco Olvera,Fantasía,978-1000042917,4,Sección B - Estante 4
Principios de la astronomía: Lecturas seleccionadas 3,Sara Hernández,Ciencia,978-1000042924,1,Sección Ciencia - Estante 5
Bajo la misma los inconformes: Cuaderno de actividades 7,Paola Maldonado,Juvenil,978-1000042931,1,Sección Juvenil - Estante 5
Cuentos para niñas curiosas: Volumen II 10,Daniel Núñez Cervantes,Infantil,978-1000042948,4,Sección Infantil - Estante 12
Estudios sobre la participación ciudadana: Nueva edición 2,Enrique Cabrera,Ciencias Sociales,978-1000042955,1,Sección Humanidades - Estante 7
El recetario de la abuela: Estudios y comentarios 3,Enrique Álvarez Ortiz,Cocina,978-1000042962,3,Sección Hogar - Estante 8
